,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
42,4,36000,2020,395600000,1,10,3,0,3,1,5,11,8,0
43,4,86000,2015,287500000,1,10,3,0,1,1,5,9,8,0
44,4,65000,2015,264500000,1,10,3,0,1,1,5,11,8,0
45,4,80000,2015,294400000,1,10,3,0,2,1,5,11,8,0
46,4,71000,2013,227700000,1,0,3,0,2,1,5,11,8,0
47,4,49594,2017,285200000,1,0,3,0,2,1,5,11,8,0
48,4,53000,2017,250700000,1,0,3,0,2,1,5,11,8,0
49,4,90000,2015,241500000,1,0,3,0,1,1,5,10,8,0
50,4,45000,2017,386400000,1,6,3,1,2,1,4,0,9,0
51,4,53000,2016,386400000,1,6,3,1,1,1,4,10,9,0
52,4,44000,2018,432400000,1,6,3,1,2,1,4,5,9,0
53,4,78000,2016,368000000,1,6,3,1,1,1,4,3,9,0
54,4,44000,2018,402500000,1,6,3,1,1,1,4,0,9,0
55,4,40000,2018,402500000,1,6,3,1,1,1,4,11,9,0
56,4,58000,2015,402500000,1,6,3,1,2,0,4,1,9,0
57,4,42000,2017,395600000,1,6,3,1,2,0,4,0,9,0
58,4,42000,2016,154100000,1,13,3,0,2,0,5,11,7,0
59,4,95000,2012,138000000,1,18,3,0,1,0,5,10,7,0
60,4,47000,2019,207000000,1,14,3,0,1,0,5,10,7,0
61,4,90000,2016,363400000,1,16,3,0,2,1,5,11,5,0
62,4,85000,2015,241500000,1,19,3,0,1,1,5,10,7,0
63,4,85000,2014,220800000,1,19,3,0,2,1,5,0,7,0
64,4,80000,2017,310500000,1,20,3,0,2,1,5,0,9,0
65,4,60000,2015,414000000,1,31,3,1,1,1,5,8,9,0
66,4,60000,2015,414000000,1,31,3,1,2,1,5,11,9,0
67,4,46000,2014,345000000,1,31,3,1,1,1,5,8,9,0
68,4,125303,2013,363400000,1,31,3,1,2,1,5,11,9,0
69,4,60000,2014,363400000,1,31,3,1,1,1,4,0,9,0
70,4,42000,2013,356500000,1,31,3,1,1,1,5,11,9,0
71,4,67000,2017,598000000,1,31,3,1,1,1,4,11,9,0
72,4,120000,2015,540500000,1,31,3,1,1,1,4,11,9,0
73,4,90000,2015,363400000,1,33,3,1,2,1,5,10,5,0
74,4,105000,2010,294400000,1,33,3,1,1,1,5,11,5,0
75,4,97000,2014,287500000,1,38,3,0,2,1,5,7,8,0
76,4,65000,2016,471500000,5,1,3,0,2,1,5,11,8,0
77,4,90000,2014,363400000,5,1,3,0,1,1,5,0,8,0
78,4,80000,2010,253000000,5,1,3,0,1,1,5,3,8,0
79,4,80000,2013,333500000,5,1,3,0,2,1,5,10,8,0
80,4,55000,2016,448500000,5,1,3,0,2,1,5,0,8,0
81,4,66369,2014,388700000,5,1,3,0,2,1,5,0,8,0
82,4,40000,2018,616400000,5,1,3,0,2,1,5,11,8,0
83,4,10000,2022,754400000,5,1,3,0,3,1,5,11,8,0
84,4,40000,2018,616400000,5,1,3,0,2,1,5,10,8,0
85,4,31000,2016,529000000,5,1,3,0,2,1,5,0,8,0
