Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP)
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,silver,4,107000,2017,816500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,VERY GOOD,Manual,4x4,SUV's,white,4,53000,2020,897000000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,75000,2015,823400000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,48000,2016,816500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,silver,4,57000,2019,885500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,62000,2015,823400000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,silver,4,85000,2017,770500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,white,4,70000,2018,724500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,Manual,4x4,SUV's,white,4,1226,2019,908500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,white,4,52000,2015,816500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,Black,4,40000,2021,977500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,Blue,4,80000,2016,678500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,white,4,68000,2018,828000000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,Black,4,50000,2017,701500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,silver,4,50000,2018,805000000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,Orange,4,80000,2017,770500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,white,4,24300,2021,862500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,31000,2019,811900000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,35000,2018,851000000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,VERY GOOD,Manual,2x4,SUV's,white,4,18000,2022,857900000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,white,4,52000,2016,731400000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,50000,2018,747500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,36000,2021,862500000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,VERY GOOD,automatic,2x4,SUV's,white,4,40000,2020,825700000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,GOOD,automatic,2x4,SUV's,white,4,50000,2019,823400000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,VERY GOOD,automatic,2x4,SUV's,white,4,31000,2020,880900000
TOYOTA ,REVO_prerunner,VTE,LEFT,diesel,VERY GOOD,automatic,2x4,SUV's,silver,4,25000,2021,874000000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,white,4,95000,2016,793500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,white,4,65000,2019,885500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,automatic,4x4,SUV's,white,4,132000,2016,805000000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,automatic,4x4,SUV's,white,4,48000,2017,851000000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,VERY GOOD,automatic,4x4,SUV's,white,4,43000,2021,1069500000
