,Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
60,Hyundai,GRAND_I_SMART,VTE,LEFT,benzine,Crash,Manual,rwd,hatchback,silver,4,47000,2019,207000000,1,14,3,0,1,0,5,10,7,0
61,Hyundai,H1,VTE,LEFT,benzine,GOOD,automatic,rwd,Van,white,4,90000,2016,363400000,1,16,3,0,2,1,5,11,5,0
62,Hyundai,I30,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,silver,4,85000,2015,241500000,1,19,3,0,1,1,5,10,7,0
63,Hyundai,I30,VTE,LEFT,benzine,GOOD,automatic,rwd,hatchback,Black,4,85000,2014,220800000,1,19,3,0,2,1,5,0,7,0
64,Hyundai,IX35,VTE,LEFT,benzine,GOOD,automatic,rwd,suv,Black,4,80000,2017,310500000,1,20,3,0,2,1,5,0,9,0
65,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,rwd,suv,Sugar,4,60000,2015,414000000,1,31,3,1,1,1,5,8,9,0
66,Hyundai,SANTAFE ,VTE,LEFT,diesel,GOOD,automatic,rwd,suv,white,4,60000,2015,414000000,1,31,3,1,2,1,5,11,9,0
67,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,rwd,suv,Sugar,4,46000,2014,345000000,1,31,3,1,1,1,5,8,9,0
68,Hyundai,SANTAFE ,VTE,LEFT,diesel,GOOD,automatic,rwd,suv,white,4,125303,2013,363400000,1,31,3,1,2,1,5,11,9,0
69,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,Black,4,60000,2014,363400000,1,31,3,1,1,1,4,0,9,0
70,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,rwd,suv,white,4,42000,2013,356500000,1,31,3,1,1,1,5,11,9,0
71,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,4,67000,2017,598000000,1,31,3,1,1,1,4,11,9,0
72,Hyundai,SANTAFE ,VTE,LEFT,diesel,Crash,automatic,FWD,suv,white,4,120000,2015,540500000,1,31,3,1,1,1,4,11,9,0
73,Hyundai,STAREX ,VTE,LEFT,diesel,GOOD,automatic,rwd,Van,silver,4,90000,2015,363400000,1,33,3,1,2,1,5,10,5,0
74,Hyundai,STAREX ,VTE,LEFT,diesel,Crash,automatic,rwd,Van,white,4,105000,2010,294400000,1,33,3,1,1,1,5,11,5,0
75,Hyundai,VELOSTER ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Red,4,97000,2014,287500000,1,38,3,0,2,1,5,7,8,0
76,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,65000,2016,471500000,5,1,3,0,2,1,5,11,8,0
77,TOYOTA ,CAMRY ,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,Black,4,90000,2014,363400000,5,1,3,0,1,1,5,0,8,0
78,TOYOTA ,CAMRY ,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,Gray,4,80000,2010,253000000,5,1,3,0,1,1,5,3,8,0
79,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,silver,4,80000,2013,333500000,5,1,3,0,2,1,5,10,8,0
80,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Black,4,55000,2016,448500000,5,1,3,0,2,1,5,0,8,0
81,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Black,4,66369,2014,388700000,5,1,3,0,2,1,5,0,8,0
82,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,40000,2018,616400000,5,1,3,0,2,1,5,11,8,0
83,TOYOTA ,CAMRY ,VTE,LEFT,benzine,VERY GOOD,automatic,rwd,sedan,white,4,10000,2022,754400000,5,1,3,0,3,1,5,11,8,0
84,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,silver,4,40000,2018,616400000,5,1,3,0,2,1,5,10,8,0
85,TOYOTA ,CAMRY ,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Black,4,31000,2016,529000000,5,1,3,0,2,1,5,0,8,0
86,TOYOTA ,CAMRY ,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,94000,2014,391000000,5,1,3,0,1,1,5,11,8,0
87,TOYOTA ,CAMRY ,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,85000,2010,294400000,5,1,3,0,1,1,5,10,8,0
